ACTION,COORDINATES,ID,NAME,CONCENTRATION,COLOR,SYMBOL,KEY,VALUE,ENTITY
APPEND,D5,,comp-2,0.086,blue,comp-2,,,Chemistry::Compound
APPEND,D6,,comp-4,0.087,blue,comp-4,,,Chemistry::Compound
APPEND,D7,,comp-1,0.088,blue,comp-1,,,Chemistry::Compound
APPEND,D8,,comp-2,0.089,blue,comp-2,,,Chemistry::Compound
APPEND,D9,,comp-4,0.09,blue,comp-4,,,Chemistry::Compound
APPEND,D10,,comp-1,0.091,blue,comp-1,,,Chemistry::Compound
APPEND,D11,,comp-2,0.092,blue,comp-2,,,Chemistry::Compound
APPEND,D12,,comp-4,0.093,blue,comp-4,,,Chemistry::Compound
APPEND,D13,,comp-1,0.094,blue,comp-1,,,Chemistry::Compound
APPEND,D14,,comp-2,0.095,blue,comp-2,,,Chemistry::Compound
APPEND,D15,,comp-4,0.096,blue,comp-4,,,Chemistry::Compound
APPEND,D16,,comp-1,0.097,blue,comp-1,,,Chemistry::Compound
APPEND,D17,,comp-2,0.098,blue,comp-2,,,Chemistry::Compound
APPEND,D18,,comp-4,0.099,blue,comp-4,,,Chemistry::Compound
APPEND,D19,,comp-1,0.1,blue,comp-1,,,Chemistry::Compound
APPEND,D20,,comp-2,0.101,blue,comp-2,,,Chemistry::Compound
APPEND,D21,,comp-4,0.102,blue,comp-4,,,Chemistry::Compound
APPEND,D22,,comp-1,0.103,blue,comp-1,,,Chemistry::Compound
APPEND,D23,,comp-2,0.104,blue,comp-2,,,Chemistry::Compound
APPEND,D24,,comp-4,0.105,blue,comp-4,,,Chemistry::Compound
APPEND,E1,,comp-1,0.106,blue,comp-1,,,Chemistry::Compound
APPEND,E2,,comp-2,0.107,blue,comp-2,,,Chemistry::Compound
APPEND,E3,,comp-4,0.108,blue,comp-4,,,Chemistry::Compound
APPEND,E4,,comp-1,0.109,blue,comp-1,,,Chemistry::Compound
APPEND,E5,,comp-2,0.11,blue,comp-2,,,Chemistry::Compound
APPEND,E6,,comp-4,0.111,blue,comp-4,,,Chemistry::Compound
APPEND,E7,,comp-1,0.112,blue,comp-1,,,Chemistry::Compound
APPEND,E8,,comp-2,0.113,blue,comp-2,,,Chemistry::Compound
APPEND,E9,,comp-4,0.114,blue,comp-4,,,Chemistry::Compound
APPEND,E10,,comp-1,0.115,blue,comp-1,,,Chemistry::Compound
APPEND,E11,,comp-2,0.116,blue,comp-2,,,Chemistry::Compound
APPEND,E12,,comp-4,0.117,blue,comp-4,,,Chemistry::Compound
APPEND,E13,,comp-1,0.118,blue,comp-1,,,Chemistry::Compound
APPEND,E14,,comp-2,0.119,blue,comp-2,,,Chemistry::Compound
APPEND,E15,,comp-4,0.12,blue,comp-4,,,Chemistry::Compound
APPEND,E16,,comp-1,0.121,blue,comp-1,,,Chemistry::Compound
APPEND,E17,,comp-2,0.122,blue,comp-2,,,Chemistry::Compound
APPEND,E18,,comp-4,0.123,blue,comp-4,,,Chemistry::Compound
APPEND,E19,,comp-1,0.124,blue,comp-1,,,Chemistry::Compound
APPEND,E20,,comp-2,0.125,blue,comp-2,,,Chemistry::Compound
APPEND,E21,,comp-4,0.126,blue,comp-4,,,Chemistry::Compound
APPEND,E22,,comp-1,0.127,blue,comp-1,,,Chemistry::Compound
APPEND,E23,,comp-2,0.128,blue,comp-2,,,Chemistry::Compound
APPEND,E24,,comp-4,0.129,blue,comp-4,,,Chemistry::Compound
APPEND,F1,,comp-1,0.13,blue,comp-1,,,Chemistry::Compound
APPEND,F2,,comp-2,0.131,blue,comp-2,,,Chemistry::Compound
APPEND,F3,,comp-4,0.132,blue,comp-4,,,Chemistry::Compound
APPEND,F4,,comp-1,0.133,blue,comp-1,,,Chemistry::Compound
APPEND,F5,,comp-2,0.134,blue,comp-2,,,Chemistry::Compound
APPEND,F6,,comp-4,0.135,blue,comp-4,,,Chemistry::Compound
APPEND,F7,,comp-1,0.136,blue,comp-1,,,Chemistry::Compound
APPEND,F8,,comp-2,0.137,blue,comp-2,,,Chemistry::Compound
APPEND,F9,,comp-4,0.138,blue,comp-4,,,Chemistry::Compound
APPEND,F10,,comp-1,0.139,blue,comp-1,,,Chemistry::Compound
APPEND,F11,,comp-2,0.14,blue,comp-2,,,Chemistry::Compound
APPEND,F12,,comp-4,0.141,blue,comp-4,,,Chemistry::Compound
APPEND,F13,,comp-1,0.142,blue,comp-1,,,Chemistry::Compound
APPEND,F14,,comp-2,0.143,blue,comp-2,,,Chemistry::Compound
APPEND,F15,,comp-4,0.144,blue,comp-4,,,Chemistry::Compound
APPEND,F16,,comp-1,0.145,blue,comp-1,,,Chemistry::Compound
APPEND,F17,,comp-2,0.146,blue,comp-2,,,Chemistry::Compound
APPEND,F18,,comp-4,0.147,blue,comp-4,,,Chemistry::Compound
APPEND,F19,,comp-1,0.148,blue,comp-1,,,Chemistry::Compound
APPEND,F20,,comp-2,0.149,blue,comp-2,,,Chemistry::Compound
APPEND,F21,,comp-4,0.15,blue,comp-4,,,Chemistry::Compound
APPEND,F22,,comp-1,0.151,blue,comp-1,,,Chemistry::Compound
APPEND,F23,,comp-2,0.152,blue,comp-2,,,Chemistry::Compound
APPEND,F24,,comp-4,0.153,blue,comp-4,,,Chemistry::Compound
APPEND,G1,,comp-1,0.154,blue,comp-1,,,Chemistry::Compound
APPEND,G2,,comp-2,0.155,blue,comp-2,,,Chemistry::Compound
APPEND,G3,,comp-4,0.156,blue,comp-4,,,Chemistry::Compound
APPEND,G4,,comp-1,0.157,blue,comp-1,,,Chemistry::Compound
APPEND,G5,,comp-2,0.158,blue,comp-2,,,Chemistry::Compound
APPEND,G6,,comp-4,0.159,blue,comp-4,,,Chemistry::Compound
APPEND,G7,,comp-1,0.16,blue,comp-1,,,Chemistry::Compound
APPEND,G8,,comp-2,0.161,blue,comp-2,,,Chemistry::Compound
APPEND,G9,,comp-4,0.162,blue,comp-4,,,Chemistry::Compound
APPEND,G10,,comp-1,0.163,blue,comp-1,,,Chemistry::Compound
APPEND,G11,,comp-2,0.164,blue,comp-2,,,Chemistry::Compound
APPEND,G12,,comp-4,0.165,blue,comp-4,,,Chemistry::Compound
APPEND,G13,,comp-1,0.166,blue,comp-1,,,Chemistry::Compound
APPEND,G14,,comp-2,0.167,blue,comp-2,,,Chemistry::Compound
APPEND,G15,,comp-4,0.168,blue,comp-4,,,Chemistry::Compound
APPEND,G16,,comp-1,0.169,blue,comp-1,,,Chemistry::Compound
APPEND,G17,,comp-2,0.17,blue,comp-2,,,Chemistry::Compound
APPEND,G18,,comp-4,0.171,blue,comp-4,,,Chemistry::Compound
APPEND,G19,,comp-1,0.172,blue,comp-1,,,Chemistry::Compound
APPEND,G20,,comp-2,0.173,blue,comp-2,,,Chemistry::Compound
APPEND,G21,,comp-4,0.174,blue,comp-4,,,Chemistry::Compound
APPEND,G22,,comp-1,0.175,blue,comp-1,,,Chemistry::Compound
APPEND,G23,,comp-2,0.176,blue,comp-2,,,Chemistry::Compound
APPEND,G24,,comp-4,0.177,blue,comp-4,,,Chemistry::Compound
APPEND,H1,,comp-1,0.178,blue,comp-1,,,Chemistry::Compound
APPEND,H2,,comp-2,0.179,blue,comp-2,,,Chemistry::Compound
APPEND,H3,,comp-4,0.18,blue,comp-4,,,Chemistry::Compound
APPEND,H4,,comp-1,0.181,blue,comp-1,,,Chemistry::Compound
APPEND,H5,,comp-2,0.182,blue,comp-2,,,Chemistry::Compound
APPEND,H6,,comp-4,0.183,blue,comp-4,,,Chemistry::Compound
APPEND,H7,,comp-1,0.184,blue,comp-1,,,Chemistry::Compound
APPEND,H8,,comp-2,0.185,blue,comp-2,,,Chemistry::Compound
APPEND,H9,,comp-4,0.186,blue,comp-4,,,Chemistry::Compound
APPEND,H10,,comp-1,0.187,blue,comp-1,,,Chemistry::Compound
APPEND,H11,,comp-2,0.188,blue,comp-2,,,Chemistry::Compound
APPEND,H12,,comp-4,0.189,blue,comp-4,,,Chemistry::Compound
APPEND,H13,,comp-1,0.19,blue,comp-1,,,Chemistry::Compound
APPEND,H14,,comp-2,0.191,blue,comp-2,,,Chemistry::Compound
APPEND,H15,,comp-4,0.192,blue,comp-4,,,Chemistry::Compound
APPEND,H16,,comp-1,0.193,blue,comp-1,,,Chemistry::Compound
APPEND,H17,,comp-2,0.194,blue,comp-2,,,Chemistry::Compound
APPEND,H18,,comp-4,0.195,blue,comp-4,,,Chemistry::Compound
APPEND,H19,,comp-1,0.196,blue,comp-1,,,Chemistry::Compound
APPEND,H20,,comp-2,0.197,blue,comp-2,,,Chemistry::Compound
APPEND,H21,,comp-4,0.198,blue,comp-4,,,Chemistry::Compound
APPEND,H22,,comp-1,0.199,blue,comp-1,,,Chemistry::Compound
APPEND,H23,,comp-2,0.2,blue,comp-2,,,Chemistry::Compound
APPEND,H24,,comp-4,0.201,blue,comp-4,,,Chemistry::Compound
APPEND,I1,,comp-1,0.202,blue,comp-1,,,Chemistry::Compound
APPEND,I2,,comp-2,0.203,blue,comp-2,,,Chemistry::Compound
APPEND,I3,,comp-4,0.204,blue,comp-4,,,Chemistry::Compound
APPEND,I4,,comp-1,0.205,blue,comp-1,,,Chemistry::Compound
APPEND,I5,,comp-2,0.206,blue,comp-2,,,Chemistry::Compound
APPEND,I6,,comp-4,0.207,blue,comp-4,,,Chemistry::Compound
APPEND,I7,,comp-1,0.208,blue,comp-1,,,Chemistry::Compound
APPEND,I8,,comp-2,0.209,blue,comp-2,,,Chemistry::Compound
APPEND,I9,,comp-4,0.21,blue,comp-4,,,Chemistry::Compound
APPEND,I10,,comp-1,0.211,blue,comp-1,,,Chemistry::Compound
APPEND,I11,,comp-2,0.212,blue,comp-2,,,Chemistry::Compound
APPEND,I12,,comp-4,0.213,blue,comp-4,,,Chemistry::Compound
APPEND,I13,,comp-1,0.214,blue,comp-1,,,Chemistry::Compound
APPEND,I14,,comp-2,0.215,blue,comp-2,,,Chemistry::Compound
APPEND,I15,,comp-4,0.216,blue,comp-4,,,Chemistry::Compound
APPEND,I16,,comp-1,0.217,blue,comp-1,,,Chemistry::Compound
APPEND,I17,,comp-2,0.218,blue,comp-2,,,Chemistry::Compound
APPEND,I18,,comp-4,0.219,blue,comp-4,,,Chemistry::Compound
APPEND,I19,,comp-1,0.22,blue,comp-1,,,Chemistry::Compound
APPEND,I20,,comp-2,0.221,blue,comp-2,,,Chemistry::Compound
APPEND,I21,,comp-4,0.222,blue,comp-4,,,Chemistry::Compound
APPEND,I22,,comp-1,0.223,blue,comp-1,,,Chemistry::Compound
APPEND,I23,,comp-2,0.224,blue,comp-2,,,Chemistry::Compound
APPEND,I24,,comp-4,0.225,blue,comp-4,,,Chemistry::Compound
APPEND,J1,,comp-1,0.226,blue,comp-1,,,Chemistry::Compound
APPEND,J2,,comp-2,0.227,blue,comp-2,,,Chemistry::Compound
APPEND,J3,,comp-4,0.228,blue,comp-4,,,Chemistry::Compound
APPEND,J4,,comp-1,0.229,blue,comp-1,,,Chemistry::Compound
APPEND,J5,,comp-2,0.23,blue,comp-2,,,Chemistry::Compound
APPEND,J6,,comp-4,0.231,blue,comp-4,,,Chemistry::Compound
APPEND,J7,,comp-1,0.232,blue,comp-1,,,Chemistry::Compound
APPEND,J8,,comp-2,0.233,blue,comp-2,,,Chemistry::Compound
APPEND,J9,,comp-4,0.234,blue,comp-4,,,Chemistry::Compound
APPEND,J10,,comp-1,0.235,blue,comp-1,,,Chemistry::Compound
APPEND,J11,,comp-2,0.236,blue,comp-2,,,Chemistry::Compound
APPEND,J12,,comp-4,0.237,blue,comp-4,,,Chemistry::Compound
APPEND,J13,,comp-1,0.238,blue,comp-1,,,Chemistry::Compound
APPEND,J14,,comp-2,0.239,blue,comp-2,,,Chemistry::Compound
APPEND,J15,,comp-4,0.24,blue,comp-4,,,Chemistry::Compound
APPEND,J16,,comp-1,0.241,blue,comp-1,,,Chemistry::Compound
APPEND,J17,,comp-2,0.242,blue,comp-2,,,Chemistry::Compound
APPEND,J18,,comp-4,0.243,blue,comp-4,,,Chemistry::Compound
APPEND,J19,,comp-1,0.244,blue,comp-1,,,Chemistry::Compound
APPEND,J20,,comp-2,0.245,blue,comp-2,,,Chemistry::Compound
APPEND,J21,,comp-4,0.246,blue,comp-4,,,Chemistry::Compound
APPEND,J22,,comp-1,0.247,blue,comp-1,,,Chemistry::Compound
APPEND,J23,,comp-2,0.248,blue,comp-2,,,Chemistry::Compound
APPEND,J24,,comp-4,0.249,blue,comp-4,,,Chemistry::Compound
APPEND,K1,,comp-1,0.25,blue,comp-1,,,Chemistry::Compound
APPEND,K2,,comp-2,0.251,blue,comp-2,,,Chemistry::Compound
APPEND,K3,,comp-4,0.252,blue,comp-4,,,Chemistry::Compound
APPEND,K4,,comp-1,0.253,blue,comp-1,,,Chemistry::Compound
APPEND,K5,,comp-2,0.254,blue,comp-2,,,Chemistry::Compound
APPEND,K6,,comp-4,0.255,blue,comp-4,,,Chemistry::Compound
APPEND,K7,,comp-1,0.256,blue,comp-1,,,Chemistry::Compound
APPEND,K8,,comp-2,0.257,blue,comp-2,,,Chemistry::Compound
APPEND,K9,,comp-4,0.258,blue,comp-4,,,Chemistry::Compound
APPEND,K10,,comp-1,0.259,blue,comp-1,,,Chemistry::Compound
APPEND,K11,,comp-2,0.26,blue,comp-2,,,Chemistry::Compound
APPEND,K12,,comp-4,0.261,blue,comp-4,,,Chemistry::Compound
APPEND,K13,,comp-1,0.262,blue,comp-1,,,Chemistry::Compound
APPEND,K14,,comp-2,0.263,blue,comp-2,,,Chemistry::Compound
APPEND,K15,,comp-4,0.264,blue,comp-4,,,Chemistry::Compound
APPEND,K16,,comp-1,0.265,blue,comp-1,,,Chemistry::Compound
APPEND,K17,,comp-2,0.266,blue,comp-2,,,Chemistry::Compound
APPEND,K18,,comp-4,0.267,blue,comp-4,,,Chemistry::Compound
APPEND,K19,,comp-1,0.268,blue,comp-1,,,Chemistry::Compound
APPEND,K20,,comp-2,0.269,blue,comp-2,,,Chemistry::Compound
APPEND,K21,,comp-4,0.27,blue,comp-4,,,Chemistry::Compound
APPEND,K22,,comp-1,0.271,blue,comp-1,,,Chemistry::Compound
APPEND,K23,,comp-2,0.272,blue,comp-2,,,Chemistry::Compound
APPEND,K24,,comp-4,0.273,blue,comp-4,,,Chemistry::Compound
APPEND,L1,,comp-1,0.274,blue,comp-1,,,Chemistry::Compound
APPEND,L2,,comp-2,0.275,blue,comp-2,,,Chemistry::Compound
APPEND,L3,,comp-4,0.276,blue,comp-4,,,Chemistry::Compound
APPEND,L4,,comp-1,0.277,blue,comp-1,,,Chemistry::Compound
APPEND,L5,,comp-2,0.278,blue,comp-2,,,Chemistry::Compound
APPEND,L6,,comp-4,0.279,blue,comp-4,,,Chemistry::Compound
APPEND,L7,,comp-1,0.28,blue,comp-1,,,Chemistry::Compound
APPEND,L8,,comp-2,0.281,blue,comp-2,,,Chemistry::Compound
APPEND,L9,,comp-4,0.282,blue,comp-4,,,Chemistry::Compound
APPEND,L10,,comp-1,0.283,blue,comp-1,,,Chemistry::Compound
APPEND,L11,,comp-2,0.284,blue,comp-2,,,Chemistry::Compound
APPEND,L12,,comp-4,0.285,blue,comp-4,,,Chemistry::Compound
APPEND,L13,,comp-1,0.286,blue,comp-1,,,Chemistry::Compound
APPEND,L14,,comp-2,0.287,blue,comp-2,,,Chemistry::Compound
APPEND,L15,,comp-4,0.288,blue,comp-4,,,Chemistry::Compound
APPEND,L16,,comp-1,0.289,blue,comp-1,,,Chemistry::Compound
APPEND,L17,,comp-2,0.29,blue,comp-2,,,Chemistry::Compound
APPEND,L18,,comp-4,0.291,blue,comp-4,,,Chemistry::Compound
APPEND,L19,,comp-1,0.292,blue,comp-1,,,Chemistry::Compound
APPEND,L20,,comp-2,0.293,blue,comp-2,,,Chemistry::Compound
APPEND,L21,,comp-4,0.294,blue,comp-4,,,Chemistry::Compound
APPEND,L22,,comp-1,0.295,blue,comp-1,,,Chemistry::Compound
APPEND,L23,,comp-2,0.296,blue,comp-2,,,Chemistry::Compound
APPEND,L24,,comp-4,0.297,blue,comp-4,,,Chemistry::Compound
APPEND,M1,,comp-1,0.298,blue,comp-1,,,Chemistry::Compound
APPEND,M2,,comp-2,0.299,blue,comp-2,,,Chemistry::Compound
APPEND,M3,,comp-4,0.3,blue,comp-4,,,Chemistry::Compound
APPEND,M4,,comp-1,0.301,blue,comp-1,,,Chemistry::Compound
APPEND,M5,,comp-2,0.302,blue,comp-2,,,Chemistry::Compound
APPEND,M6,,comp-4,0.303,blue,comp-4,,,Chemistry::Compound
APPEND,M7,,comp-1,0.304,blue,comp-1,,,Chemistry::Compound
APPEND,M8,,comp-2,0.305,blue,comp-2,,,Chemistry::Compound
APPEND,M9,,comp-4,0.306,blue,comp-4,,,Chemistry::Compound
APPEND,M10,,comp-1,0.307,blue,comp-1,,,Chemistry::Compound
APPEND,M11,,comp-2,0.308,blue,comp-2,,,Chemistry::Compound
APPEND,M12,,comp-4,0.309,blue,comp-4,,,Chemistry::Compound
APPEND,M13,,comp-1,0.31,blue,comp-1,,,Chemistry::Compound
APPEND,M14,,comp-2,0.311,blue,comp-2,,,Chemistry::Compound
APPEND,M15,,comp-4,0.312,blue,comp-4,,,Chemistry::Compound
APPEND,M16,,comp-1,0.313,blue,comp-1,,,Chemistry::Compound
APPEND,M17,,comp-2,0.314,blue,comp-2,,,Chemistry::Compound
APPEND,M18,,comp-4,0.315,blue,comp-4,,,Chemistry::Compound
APPEND,M19,,comp-1,0.316,blue,comp-1,,,Chemistry::Compound
APPEND,M20,,comp-2,0.317,blue,comp-2,,,Chemistry::Compound
APPEND,M21,,comp-4,0.318,blue,comp-4,,,Chemistry::Compound
APPEND,M22,,comp-1,0.319,blue,comp-1,,,Chemistry::Compound
APPEND,M23,,comp-2,0.32,blue,comp-2,,,Chemistry::Compound
APPEND,M24,,comp-4,0.321,blue,comp-4,,,Chemistry::Compound
APPEND,N1,,comp-1,0.322,blue,comp-1,,,Chemistry::Compound
APPEND,N2,,comp-2,0.323,blue,comp-2,,,Chemistry::Compound
APPEND,N3,,comp-4,0.324,blue,comp-4,,,Chemistry::Compound
APPEND,N4,,comp-1,0.325,blue,comp-1,,,Chemistry::Compound
APPEND,N5,,comp-2,0.326,blue,comp-2,,,Chemistry::Compound
APPEND,N6,,comp-4,0.327,blue,comp-4,,,Chemistry::Compound
APPEND,N7,,comp-1,0.328,blue,comp-1,,,Chemistry::Compound
APPEND,N8,,comp-2,0.329,blue,comp-2,,,Chemistry::Compound
APPEND,N9,,comp-4,0.33,blue,comp-4,,,Chemistry::Compound
APPEND,N10,,comp-1,0.331,blue,comp-1,,,Chemistry::Compound
APPEND,N11,,comp-2,0.332,blue,comp-2,,,Chemistry::Compound
APPEND,N12,,comp-4,0.333,blue,comp-4,,,Chemistry::Compound
APPEND,N13,,comp-1,0.334,blue,comp-1,,,Chemistry::Compound
APPEND,N14,,comp-2,0.335,blue,comp-2,,,Chemistry::Compound
APPEND,N15,,comp-4,0.336,blue,comp-4,,,Chemistry::Compound
APPEND,N16,,comp-1,0.337,blue,comp-1,,,Chemistry::Compound
APPEND,N17,,comp-2,0.338,blue,comp-2,,,Chemistry::Compound
APPEND,N18,,comp-4,0.339,blue,comp-4,,,Chemistry::Compound
APPEND,N19,,comp-1,0.34,blue,comp-1,,,Chemistry::Compound
APPEND,N20,,comp-2,0.341,blue,comp-2,,,Chemistry::Compound
APPEND,N21,,comp-4,0.342,blue,comp-4,,,Chemistry::Compound
APPEND,N22,,comp-1,0.343,blue,comp-1,,,Chemistry::Compound
APPEND,N23,,comp-2,0.344,blue,comp-2,,,Chemistry::Compound
APPEND,N24,,comp-4,0.345,blue,comp-4,,,Chemistry::Compound
APPEND,O1,,comp-1,0.346,blue,comp-1,,,Chemistry::Compound
APPEND,O2,,comp-2,0.347,blue,comp-2,,,Chemistry::Compound
APPEND,O3,,comp-4,0.348,blue,comp-4,,,Chemistry::Compound
APPEND,O4,,comp-1,0.349,blue,comp-1,,,Chemistry::Compound
APPEND,O5,,comp-2,0.35,blue,comp-2,,,Chemistry::Compound
APPEND,O6,,comp-4,0.351,blue,comp-4,,,Chemistry::Compound
APPEND,O7,,comp-1,0.352,blue,comp-1,,,Chemistry::Compound
APPEND,O8,,comp-2,0.353,blue,comp-2,,,Chemistry::Compound
APPEND,O9,,comp-4,0.354,blue,comp-4,,,Chemistry::Compound
APPEND,O10,,comp-1,0.355,blue,comp-1,,,Chemistry::Compound
APPEND,O11,,comp-2,0.356,blue,comp-2,,,Chemistry::Compound
APPEND,O12,,comp-4,0.357,blue,comp-4,,,Chemistry::Compound
APPEND,O13,,comp-1,0.358,blue,comp-1,,,Chemistry::Compound
APPEND,O14,,comp-2,0.359,blue,comp-2,,,Chemistry::Compound
APPEND,O15,,comp-4,0.36,blue,comp-4,,,Chemistry::Compound
APPEND,O16,,comp-1,0.361,blue,comp-1,,,Chemistry::Compound
APPEND,O17,,comp-2,0.362,blue,comp-2,,,Chemistry::Compound
APPEND,O18,,comp-4,0.363,blue,comp-4,,,Chemistry::Compound
APPEND,O19,,comp-1,0.364,blue,comp-1,,,Chemistry::Compound
APPEND,O20,,comp-2,0.365,blue,comp-2,,,Chemistry::Compound
APPEND,O21,,comp-4,0.366,blue,comp-4,,,Chemistry::Compound
APPEND,O22,,comp-1,0.367,blue,comp-1,,,Chemistry::Compound
APPEND,O23,,comp-2,0.368,blue,comp-2,,,Chemistry::Compound
APPEND,O24,,comp-4,0.369,blue,comp-4,,,Chemistry::Compound
APPEND,P1,,comp-1,0.37,blue,comp-1,,,Chemistry::Compound
APPEND,P2,,comp-2,0.371,blue,comp-2,,,Chemistry::Compound
APPEND,P3,,comp-4,0.372,blue,comp-4,,,Chemistry::Compound
APPEND,P4,,comp-1,0.373,blue,comp-1,,,Chemistry::Compound
APPEND,P5,,comp-2,0.374,blue,comp-2,,,Chemistry::Compound
